test_family,family,model,outcome,weight_col,formula,term,coef,se,pval,nobs
residual_queue_shift,binary,baseline,residual_queue_complexity_index_mean,n_questions,residual_queue_complexity_index_mean ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id),high_post,0.05512033694139709,0.013244168504046779,3.1566985404996976e-05,1147
residual_queue_shift,binary,baseline,body_word_count_mean,n_questions,body_word_count_mean ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id),high_post,4.096115718565794,1.6714106076201367,0.014258116047977222,1147
residual_queue_shift,binary,baseline,tag_count_full_mean,n_questions,tag_count_full_mean ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id),high_post,0.14409543126312357,0.038041951405415594,0.00015198506092381267,1147
residual_queue_shift,binary,baseline,has_edit_mean,n_questions,has_edit_mean ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id),high_post,0.00935022279488235,0.005818901911323608,0.10808274227995202,1147
residual_queue_bridge,binary,baseline,brand_new_platform_share,n_new_answerers_profiles,brand_new_platform_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id),high_post,0.030050089450070705,0.008853585715612825,0.0006885073473170871,1145
residual_queue_bridge,binary,with_residual_queue,brand_new_platform_share,n_new_answerers_profiles,brand_new_platform_share ~ high_post + residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),high_post,0.029345818353920985,0.008444408644012033,0.0005105155572403515,1145
residual_queue_bridge,binary,with_residual_queue,brand_new_platform_share,n_new_answerers_profiles,brand_new_platform_share ~ high_post + residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),residual_queue_complexity_index_mean,0.014709749648966826,0.02408943269861385,0.5414440250994486,1145
residual_queue_bridge,binary,baseline,low_tenure_existing_share,n_new_answerers_profiles,low_tenure_existing_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id),high_post,-0.06276576895500968,0.009360015872429935,2.0039761020511362e-11,1145
residual_queue_bridge,binary,with_residual_queue,low_tenure_existing_share,n_new_answerers_profiles,low_tenure_existing_share ~ high_post + residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),high_post,-0.06020687825170269,0.009818935736877352,8.693881888761481e-10,1145
residual_queue_bridge,binary,with_residual_queue,low_tenure_existing_share,n_new_answerers_profiles,low_tenure_existing_share ~ high_post + residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),residual_queue_complexity_index_mean,-0.053446239424671874,0.02899899873295497,0.06532354909977783,1145
