sample,model,outcome,term,coef,se,pval,weight_col,nobs
full,baseline,any_answer_7d_rate,exposure_post,-0.011260864940083362,0.007397490682718738,0.12794527460225358,any_answer_7d_denom,1147
full,with_first_recent_share,any_answer_7d_rate,first_recent_share,-0.044791599619486366,0.014604670771524596,0.00216264707044263,any_answer_7d_denom,1145
full,with_first_recent_share,any_answer_7d_rate,exposure_post,-0.01052332767926481,0.007170961900326358,0.14224232238023501,any_answer_7d_denom,1145
full,with_recent_gap_first_vs_accepted,any_answer_7d_rate,recent_gap_first_vs_accepted,-0.07150250020398836,0.037032304860196666,0.053506033254956634,any_answer_7d_denom,1139
full,with_recent_gap_first_vs_accepted,any_answer_7d_rate,exposure_post,-0.010727283800775868,0.007468552498816514,0.15090930715599116,any_answer_7d_denom,1139
full,with_accepted_incumbent_share,any_answer_7d_rate,accepted_incumbent_share,-0.035459286494485154,0.02136282500944618,0.09694273514505526,any_answer_7d_denom,1139
full,with_accepted_incumbent_share,any_answer_7d_rate,exposure_post,-0.01286193654243202,0.006795185435084517,0.058384284597283974,any_answer_7d_denom,1139
high_complexity,with_recent_gap_first_vs_accepted,any_answer_7d_rate,recent_gap_first_vs_accepted,-0.03294989442450369,0.04123790509052792,0.42427904716929377,any_answer_7d_denom,568
high_complexity,with_recent_gap_first_vs_accepted,any_answer_7d_rate,exposure_post,0.004463432553944033,0.009269019104092668,0.6301305275931692,any_answer_7d_denom,568
full,baseline,first_positive_answer_latency_mean,exposure_post,52.62798849332515,15.253470268336926,0.000560108076818475,first_positive_answer_latency_denom,1143
full,with_first_recent_share,first_positive_answer_latency_mean,first_recent_share,58.27026211643202,75.30586846129471,0.43906021663385764,first_positive_answer_latency_denom,1143
full,with_first_recent_share,first_positive_answer_latency_mean,exposure_post,51.4322317929308,14.644663901870487,0.0004447283254694177,first_positive_answer_latency_denom,1143
full,with_recent_gap_first_vs_accepted,first_positive_answer_latency_mean,recent_gap_first_vs_accepted,283.9036183164226,98.42494528382471,0.00392075435849133,first_positive_answer_latency_denom,1138
full,with_recent_gap_first_vs_accepted,first_positive_answer_latency_mean,exposure_post,50.68245036394639,14.765014579911018,0.0005978142180272528,first_positive_answer_latency_denom,1138
full,with_accepted_incumbent_share,first_positive_answer_latency_mean,accepted_incumbent_share,-22.568621968257908,66.71905385397969,0.735164612328333,first_positive_answer_latency_denom,1138
full,with_accepted_incumbent_share,first_positive_answer_latency_mean,exposure_post,51.395725997620076,15.216140150642437,0.0007309181804531506,first_positive_answer_latency_denom,1138
high_complexity,with_recent_gap_first_vs_accepted,first_positive_answer_latency_mean,recent_gap_first_vs_accepted,50.009431664270096,217.2873476286958,0.8179725360947878,first_positive_answer_latency_denom,568
