outcome,dropped_tag_1,dropped_tag_2,coef,pval,negative_sign,significant_10pct
accepted_vote_30d_rate,android,apache-spark,-0.08838641820451859,0.0015948914323530594,1.0,1.0
accepted_vote_30d_rate,android,bash,-0.08536602807437368,0.001491983021321862,1.0,1.0
accepted_vote_30d_rate,android,docker,-0.0773592663681148,0.003496777023651936,1.0,1.0
accepted_vote_30d_rate,android,excel,-0.09788600037134149,6.729809357340675e-05,1.0,1.0
accepted_vote_30d_rate,android,firebase,-0.09130586971316468,0.0008631461714501608,1.0,1.0
accepted_vote_30d_rate,android,javascript,-0.0930616874257745,0.0024295753297132435,1.0,1.0
accepted_vote_30d_rate,android,kubernetes,-0.0886172170585042,0.0014838747426008957,1.0,1.0
accepted_vote_30d_rate,android,linux,-0.0770509713934153,0.0038950022510137426,1.0,1.0
accepted_vote_30d_rate,android,memory-management,-0.07430555897854213,0.0022257604684425467,1.0,1.0
accepted_vote_30d_rate,android,multithreading,-0.07718415540052999,0.0038823430510056835,1.0,1.0
accepted_vote_30d_rate,android,numpy,-0.08489952661713801,0.0021300772435665816,1.0,1.0
accepted_vote_30d_rate,android,pandas,-0.08075561692875405,0.002662922460001194,1.0,1.0
accepted_vote_30d_rate,android,python,-0.09578718645259092,0.00024717389495116943,1.0,1.0
accepted_vote_30d_rate,android,regex,-0.0775369483811491,0.0027068816687812946,1.0,1.0
accepted_vote_30d_rate,android,sql,-0.07993175206501753,0.003721749427675511,1.0,1.0
accepted_vote_30d_rate,apache-spark,bash,-0.07975551159840832,0.0030224023149315357,1.0,1.0
accepted_vote_30d_rate,apache-spark,docker,-0.07284339796299964,0.006395311598249984,1.0,1.0
accepted_vote_30d_rate,apache-spark,excel,-0.09222736308177813,0.00017956072247059073,1.0,1.0
accepted_vote_30d_rate,apache-spark,firebase,-0.08584318826396983,0.0016641707174700703,1.0,1.0
accepted_vote_30d_rate,apache-spark,javascript,-0.08530861808158412,0.008565885215400089,1.0,1.0
accepted_vote_30d_rate,apache-spark,kubernetes,-0.08291444611667326,0.00307177466902485,1.0,1.0
accepted_vote_30d_rate,apache-spark,linux,-0.07055571224935263,0.0072524221613930505,1.0,1.0
accepted_vote_30d_rate,apache-spark,memory-management,-0.06900979407306863,0.004543688894983524,1.0,1.0
accepted_vote_30d_rate,apache-spark,multithreading,-0.07159165515629531,0.007189365767876497,1.0,1.0
accepted_vote_30d_rate,apache-spark,numpy,-0.07921030236400083,0.004201786223920029,1.0,1.0
accepted_vote_30d_rate,apache-spark,pandas,-0.07499448560241152,0.005263811244228916,1.0,1.0
accepted_vote_30d_rate,apache-spark,python,-0.08618932260484975,0.0018963743052253647,1.0,1.0
accepted_vote_30d_rate,apache-spark,regex,-0.07221629110320123,0.005349694501705396,1.0,1.0
accepted_vote_30d_rate,apache-spark,sql,-0.07520459869411689,0.005719061215197653,1.0,1.0
accepted_vote_30d_rate,bash,docker,-0.07075444945122301,0.00620854286804129,1.0,1.0
accepted_vote_30d_rate,bash,excel,-0.0886873764470045,0.00022753733662689765,1.0,1.0
accepted_vote_30d_rate,bash,firebase,-0.08306519157722286,0.001565084223363427,1.0,1.0
accepted_vote_30d_rate,bash,javascript,-0.08022491317252431,0.009492461153833086,1.0,1.0
accepted_vote_30d_rate,bash,kubernetes,-0.07967396738117237,0.0034086585883913636,1.0,1.0
accepted_vote_30d_rate,bash,linux,-0.06846746642661025,0.007041897903997033,1.0,1.0
accepted_vote_30d_rate,bash,memory-management,-0.06695988764815383,0.004426373249825926,1.0,1.0
accepted_vote_30d_rate,bash,multithreading,-0.06949104432326644,0.006879352172881211,1.0,1.0
accepted_vote_30d_rate,bash,numpy,-0.07679582834928239,0.004021079412056376,1.0,1.0
accepted_vote_30d_rate,bash,pandas,-0.07277509778695374,0.004960067351935189,1.0,1.0
accepted_vote_30d_rate,bash,python,-0.08708393284552829,0.0007694624883167619,1.0,1.0
accepted_vote_30d_rate,bash,regex,-0.07001375696648546,0.005217364626709494,1.0,1.0
accepted_vote_30d_rate,bash,sql,-0.07224702376812839,0.006263102900639734,1.0,1.0
accepted_vote_30d_rate,docker,excel,-0.081932887435422,0.0005347662866233186,1.0,1.0
accepted_vote_30d_rate,docker,firebase,-0.07615155663483836,0.003259749573320903,1.0,1.0
accepted_vote_30d_rate,docker,javascript,-0.07357060199233173,0.01717913000006952,1.0,1.0
accepted_vote_30d_rate,docker,kubernetes,-0.07336257223096487,0.006863174863100874,1.0,1.0
accepted_vote_30d_rate,docker,linux,-0.06114509550540531,0.013612228680400792,1.0,1.0
accepted_vote_30d_rate,docker,memory-management,-0.05994428482103564,0.009095637740289403,1.0,1.0
accepted_vote_30d_rate,docker,multithreading,-0.06184155742370691,0.013476532109981496,1.0,1.0
accepted_vote_30d_rate,docker,numpy,-0.06978118992316465,0.008275015409901615,1.0,1.0
accepted_vote_30d_rate,docker,pandas,-0.06586363143784238,0.010200231421417145,1.0,1.0
accepted_vote_30d_rate,docker,python,-0.08008407052853403,0.0020226971420278313,1.0,1.0
accepted_vote_30d_rate,docker,regex,-0.06289789738876471,0.01096632010647115,1.0,1.0
accepted_vote_30d_rate,docker,sql,-0.06572526332734474,0.012510644786014801,1.0,1.0
accepted_vote_30d_rate,excel,firebase,-0.09582579292014792,4.4137990919585604e-05,1.0,1.0
accepted_vote_30d_rate,excel,javascript,-0.09527151122389374,0.0009048136593976526,1.0,1.0
accepted_vote_30d_rate,excel,kubernetes,-0.09192877563234086,0.0002367864445599248,1.0,1.0
accepted_vote_30d_rate,excel,linux,-0.07999435225611805,0.0006283642014465434,1.0,1.0
accepted_vote_30d_rate,excel,memory-management,-0.07822863851523085,0.00023049499476517714,1.0,1.0
accepted_vote_30d_rate,excel,multithreading,-0.08127654380591717,0.0006087099360582872,1.0,1.0
accepted_vote_30d_rate,excel,numpy,-0.08855730189644734,0.00032738212426900766,1.0,1.0
accepted_vote_30d_rate,excel,pandas,-0.08449273142740128,0.0004095366892700467,1.0,1.0
accepted_vote_30d_rate,excel,python,-0.09869857071316476,2.4559519561195977e-05,1.0,1.0
accepted_vote_30d_rate,excel,regex,-0.08138669173703902,0.0003739642019056912,1.0,1.0
accepted_vote_30d_rate,excel,sql,-0.08342392877262218,0.0006256998166924238,1.0,1.0
accepted_vote_30d_rate,firebase,javascript,-0.08826651793156312,0.004654534948664324,1.0,1.0
accepted_vote_30d_rate,firebase,kubernetes,-0.08601232554508367,0.0016822638448115398,1.0,1.0
accepted_vote_30d_rate,firebase,linux,-0.07439996993613013,0.003917759735366313,1.0,1.0
accepted_vote_30d_rate,firebase,memory-management,-0.07231595565852073,0.0022457039006514735,1.0,1.0
accepted_vote_30d_rate,firebase,multithreading,-0.07530822383718311,0.003860070692893565,1.0,1.0
accepted_vote_30d_rate,firebase,numpy,-0.08267004980239162,0.002185773037208438,1.0,1.0
accepted_vote_30d_rate,firebase,pandas,-0.07846967104752245,0.00277407061686263,1.0,1.0
accepted_vote_30d_rate,firebase,python,-0.09243786590105427,0.0004531700030882451,1.0,1.0
accepted_vote_30d_rate,firebase,regex,-0.0757030945339272,0.002758850261534782,1.0,1.0
accepted_vote_30d_rate,firebase,sql,-0.07801994908319737,0.0034713465884666094,1.0,1.0
accepted_vote_30d_rate,javascript,kubernetes,-0.08315658857825817,0.010450313684185858,1.0,1.0
accepted_vote_30d_rate,javascript,linux,-0.0699784664276509,0.02222284511131343,1.0,1.0
accepted_vote_30d_rate,javascript,memory-management,-0.06877725299655962,0.015062544082930033,1.0,1.0
accepted_vote_30d_rate,javascript,multithreading,-0.07177562660157219,0.020357295846374423,1.0,1.0
accepted_vote_30d_rate,javascript,numpy,-0.08019398797327698,0.011681900873382675,1.0,1.0
accepted_vote_30d_rate,javascript,pandas,-0.07591767247748143,0.014905997178940533,1.0,1.0
accepted_vote_30d_rate,javascript,python,-0.0845431017570778,0.007069053017307654,1.0,1.0
accepted_vote_30d_rate,javascript,regex,-0.07146365349242269,0.015979711581780232,1.0,1.0
accepted_vote_30d_rate,javascript,sql,-0.07411290095120426,0.01650325431568294,1.0,1.0
accepted_vote_30d_rate,kubernetes,linux,-0.07070634378648799,0.007900633557642664,1.0,1.0
accepted_vote_30d_rate,kubernetes,memory-management,-0.06909801356337815,0.004935214990414624,1.0,1.0
accepted_vote_30d_rate,kubernetes,multithreading,-0.07210988644844647,0.007731781842809854,1.0,1.0
accepted_vote_30d_rate,kubernetes,numpy,-0.07945310906637437,0.004397583971873605,1.0,1.0
accepted_vote_30d_rate,kubernetes,pandas,-0.0753399718811416,0.005428835633767843,1.0,1.0
accepted_vote_30d_rate,kubernetes,python,-0.09139891891874756,0.0005399398967186662,1.0,1.0
accepted_vote_30d_rate,kubernetes,regex,-0.07230447311332819,0.005827770047432833,1.0,1.0
accepted_vote_30d_rate,kubernetes,sql,-0.07465248995482937,0.0071885649494178696,1.0,1.0
accepted_vote_30d_rate,linux,memory-management,-0.057884497574066995,0.010129794795489082,1.0,1.0
accepted_vote_30d_rate,linux,multithreading,-0.06009187712349939,0.014906245378560707,1.0,1.0
accepted_vote_30d_rate,linux,numpy,-0.06764738082075714,0.009261495263300223,1.0,1.0
accepted_vote_30d_rate,linux,pandas,-0.0637862223319489,0.011218173219661743,1.0,1.0
accepted_vote_30d_rate,linux,python,-0.07706410835868567,0.002761467458100787,1.0,1.0
accepted_vote_30d_rate,linux,regex,-0.06095027480983806,0.012023725185284271,1.0,1.0
accepted_vote_30d_rate,linux,sql,-0.06274869341854597,0.013104931822356418,1.0,1.0
accepted_vote_30d_rate,memory-management,multithreading,-0.05895853427007961,0.01011901353645607,1.0,1.0
accepted_vote_30d_rate,memory-management,numpy,-0.06619790102319337,0.006021550355145109,1.0,1.0
accepted_vote_30d_rate,memory-management,pandas,-0.06250845777864396,0.007485563020492077,1.0,1.0
accepted_vote_30d_rate,memory-management,python,-0.07532397349892592,0.0013518530387714044,1.0,1.0
accepted_vote_30d_rate,memory-management,regex,-0.059623538698735934,0.007725977406767936,1.0,1.0
accepted_vote_30d_rate,memory-management,sql,-0.06170881856811594,0.009165046542232191,1.0,1.0
accepted_vote_30d_rate,multithreading,numpy,-0.06880786261486227,0.009134101240234177,1.0,1.0
accepted_vote_30d_rate,multithreading,pandas,-0.0648202253048721,0.011033724635914701,1.0,1.0
accepted_vote_30d_rate,multithreading,python,-0.07852897760380265,0.002582997278721354,1.0,1.0
accepted_vote_30d_rate,multithreading,regex,-0.06185461244043654,0.01171941553739895,1.0,1.0
accepted_vote_30d_rate,multithreading,sql,-0.0642116826260342,0.01358710221644951,1.0,1.0
accepted_vote_30d_rate,numpy,pandas,-0.07213936190028145,0.006621698378013198,1.0,1.0
accepted_vote_30d_rate,numpy,python,-0.08601068985962385,0.00138010170853624,1.0,1.0
accepted_vote_30d_rate,numpy,regex,-0.06922947943382252,0.006998104737594544,1.0,1.0
accepted_vote_30d_rate,numpy,sql,-0.07186075233171643,0.008086702457019613,1.0,1.0
accepted_vote_30d_rate,pandas,python,-0.08121805920285048,0.001938097560404108,1.0,1.0
accepted_vote_30d_rate,pandas,regex,-0.06529407554746043,0.008507814195585795,1.0,1.0
accepted_vote_30d_rate,pandas,sql,-0.06785375834813669,0.009684089864516503,1.0,1.0
accepted_vote_30d_rate,python,regex,-0.07868650241491637,0.002022707598479326,1.0,1.0
accepted_vote_30d_rate,python,sql,-0.08561389994954627,0.0009550625598202664,1.0,1.0
accepted_vote_30d_rate,regex,sql,-0.065309834816521,0.01085108548948936,1.0,1.0
accepted_cond_any_answer_30d_rate,android,apache-spark,-0.0936758303267693,0.017157175857401813,1.0,1.0
accepted_cond_any_answer_30d_rate,android,bash,-0.09600131757315725,0.01024454004117109,1.0,1.0
accepted_cond_any_answer_30d_rate,android,docker,-0.07734677105685156,0.04236059717087351,1.0,1.0
accepted_cond_any_answer_30d_rate,android,excel,-0.0996911865391433,0.011939655559821283,1.0,1.0
accepted_cond_any_answer_30d_rate,android,firebase,-0.09445112296227876,0.01715520315212425,1.0,1.0
accepted_cond_any_answer_30d_rate,android,javascript,-0.10474890324346027,0.002586003811463122,1.0,1.0
accepted_cond_any_answer_30d_rate,android,kubernetes,-0.0884606608865689,0.02697084137219145,1.0,1.0
accepted_cond_any_answer_30d_rate,android,linux,-0.09483325814610603,0.016901525458939762,1.0,1.0
accepted_cond_any_answer_30d_rate,android,memory-management,-0.0833025624675191,0.025394910332343448,1.0,1.0
accepted_cond_any_answer_30d_rate,android,multithreading,-0.08672569367695507,0.028480736576349284,1.0,1.0
accepted_cond_any_answer_30d_rate,android,numpy,-0.090958618410318,0.019792053301041296,1.0,1.0
accepted_cond_any_answer_30d_rate,android,pandas,-0.07844410694532253,0.03108565299936283,1.0,1.0
accepted_cond_any_answer_30d_rate,android,python,-0.11951649959744429,0.00026296216145557725,1.0,1.0
accepted_cond_any_answer_30d_rate,android,regex,-0.08440606765831249,0.035984611415986266,1.0,1.0
accepted_cond_any_answer_30d_rate,android,sql,-0.06520072095363728,0.07088941493780263,1.0,1.0
accepted_cond_any_answer_30d_rate,apache-spark,bash,-0.07842114446334514,0.05221669645669724,1.0,1.0
accepted_cond_any_answer_30d_rate,apache-spark,docker,-0.061798984201941146,0.12328656695656336,1.0,0.0
accepted_cond_any_answer_30d_rate,apache-spark,excel,-0.08314153751043712,0.04764685069592515,1.0,1.0
accepted_cond_any_answer_30d_rate,apache-spark,firebase,-0.0766200078655211,0.06864386840012854,1.0,1.0
accepted_cond_any_answer_30d_rate,apache-spark,javascript,-0.08967970467732748,0.025684743588738672,1.0,1.0
accepted_cond_any_answer_30d_rate,apache-spark,kubernetes,-0.07119393909404713,0.09199374773280379,1.0,1.0
accepted_cond_any_answer_30d_rate,apache-spark,linux,-0.07647198456837465,0.06954744229085842,1.0,1.0
accepted_cond_any_answer_30d_rate,apache-spark,memory-management,-0.06662050986129422,0.09182236266548251,1.0,1.0
