component,role,outcome,model_term,coef,se,pval,nobs,low_pre_mean,low_post_mean,high_pre_mean,high_post_mean,high_minus_low_change
role_location,first_answer,recent_entrant_90d_share,exposure_index:post_chatgpt,-0.008179126686750733,0.011738620484512631,0.485946311999062,1161,0.5515477764766472,0.39601020356219707,0.5028585291423135,0.3469950890331054,-0.0003258671947580227
role_location,first_answer,incumbent_365d_share,exposure_index:post_chatgpt,0.032217353450651964,0.008917539227884389,0.0003028994629248553,1161,0.22265956041574833,0.5043919434844826,0.25913659970696484,0.5549811734626159,0.01411219068691677
role_location,first_answer,brand_new_platform_share,exposure_index:post_chatgpt,-9.711324411863022e-05,0.007935490803598632,0.9902358624055938,1161,0.12222217274957589,0.24649181848518956,0.09042113428223945,0.20874054307050696,-0.0059502369473461575
role_location,first_answer,established_cross_tag_share,exposure_index:post_chatgpt,-0.011759124553559692,0.009604830549340533,0.2208418051594112,1161,0.694670163393309,0.6525981187889208,0.7582428105837401,0.692446332143431,-0.023724433835920933
role_location,first_answer,low_tenure_existing_share,exposure_index:post_chatgpt,0.011859306887281517,0.010040277653634213,0.23753392533952666,1161,0.1831061796777253,0.10091006272588957,0.15133286303000898,0.09881312478606208,0.029676378707888834
role_location,first_positive,recent_entrant_90d_share,exposure_index:post_chatgpt,-0.005946168241391558,0.013019481865686466,0.6478772561570814,1159,0.5027226667929353,0.32667487816633645,0.4429830683455227,0.2620152115154944,-0.00492006820342944
role_location,first_positive,incumbent_365d_share,exposure_index:post_chatgpt,0.032664103936075425,0.010835919754485798,0.0025746399824055424,1159,0.25068970071848495,0.5778610828468912,0.29527025069593865,0.6445785404488026,0.02213690762445769
role_location,first_positive,brand_new_platform_share,exposure_index:post_chatgpt,-0.0024036338296495536,0.00777327004019109,0.7571558184185534,1159,0.11216888758189807,0.21233867080811866,0.07929091948180551,0.17185241058520334,-0.0076082921228227685
role_location,first_positive,established_cross_tag_share,exposure_index:post_chatgpt,-0.0176836083889873,0.010838816374959846,0.10278331397341185,1159,0.7289170888773142,0.6904942965779468,0.796698998954446,0.7326796153120875,-0.025596591342991082
role_location,first_positive,low_tenure_existing_share,exposure_index:post_chatgpt,0.020092027715098826,0.010776417371240488,0.062259365694956076,1159,0.15891402354078768,0.09716703261393456,0.12400481428906276,0.09546797410270916,0.03321015074049952
role_location,top_score,recent_entrant_90d_share,exposure_index:post_chatgpt,-0.00974313074146926,0.011123737684946814,0.3810917845604782,1161,0.5451108904631085,0.39082923739119124,0.4921155030915527,0.33429503524299853,-0.003538814776636978
role_location,top_score,incumbent_365d_share,exposure_index:post_chatgpt,0.035844465251317945,0.008036124762416897,8.180044143457262e-06,1161,0.22841966062754074,0.5109529923473284,0.2673913806807481,0.569832831525194,0.019908119124658286
role_location,top_score,brand_new_platform_share,exposure_index:post_chatgpt,-0.001180880651803263,0.008231250636140169,0.8859244594873827,1161,0.1215735863562357,0.24282102476795947,0.08919217423780536,0.2033056465640696,-0.00713396608545952
role_location,top_score,established_cross_tag_share,exposure_index:post_chatgpt,-0.011792485520220063,0.009437231354157522,0.21145649979679904,1161,0.7001393644447017,0.6565799967194755,0.7641865082531849,0.6989360736016319,-0.02169106692632683
role_location,top_score,low_tenure_existing_share,exposure_index:post_chatgpt,0.012973778844869442,0.010174286192065563,0.20225483979534087,1161,0.1782870491990626,0.10059897851256497,0.14661972145700394,0.09775827983429852,0.028826629063792214
role_location,accepted_current,recent_entrant_90d_share,exposure_index:post_chatgpt,-0.01045058645845109,0.013171587480955973,0.4275338024083597,1155,0.4955139824663406,0.3276441238946796,0.44270257273383024,0.2681237796912531,-0.006708934470916139
role_location,accepted_current,incumbent_365d_share,exposure_index:post_chatgpt,0.033597405295195344,0.010004643964422716,0.0007845722013396374,1155,0.25160459204031144,0.573185792619671,0.2922421962292972,0.6307819808683682,0.016958584059711512
role_location,accepted_current,brand_new_platform_share,exposure_index:post_chatgpt,-0.001709366740472913,0.00837619626596021,0.8382954046085687,1155,0.09671443391816865,0.19879711505211678,0.07074947314823982,0.1687291932969055,-0.004102960985282442
role_location,accepted_current,established_cross_tag_share,exposure_index:post_chatgpt,-0.02151471618588234,0.009628008823388991,0.02544384150273043,1155,0.7310897545515692,0.6950921306130514,0.7973579621798227,0.7314688654464749,-0.029891472794829954
role_location,accepted_current,low_tenure_existing_share,exposure_index:post_chatgpt,0.023224082926355267,0.011905340011485233,0.0510893825625631,1155,0.1721958115302621,0.10611075433483179,0.13189256467193755,0.09980194125661952,0.03399443378011227
