event_id,question_id,answer_id,user_id,role,surface,event_ts,event_month,strict_pattern_family,tool_families,primary_tag,month_id,high_tag,exposure_index,post_chatgpt
55f9c2b6c0069c27,59951879,,12800040,asker,title,2020-01-28 15:20:01.457000+00:00,2020-01,from_tool,,javascript,2020-01,1,0.484762784788476,0
abec9405fef9634e,59951879,,12800040,asker,question_body,2020-01-28 15:20:01.457000+00:00,2020-01,from_tool,,javascript,2020-01,1,0.484762784788476,0
5399fceb589c22cf,60029211,,12829049,asker,title,2020-02-02 18:23:07.907000+00:00,2020-02,from_tool,,python,2020-02,1,0.3704293899547944,0
10f0b20d65634194,60674959,60676032,231238,answerer,answer_body,2020-03-13 19:11:25.750000+00:00,2020-03,used_tool,,python,2020-03,1,0.3704293899547944,0
c1da823635e244ca,60763428,,13072764,asker,question_body,2020-03-19 18:55:52.390000+00:00,2020-03,from_tool,openai,python,2020-03,1,0.3704293899547944,0
08a2e8126b3c5d2a,61273746,,5453699,asker,question_body,2020-04-17 14:14:59.183000+00:00,2020-04,from_tool,openai,python,2020-04,1,0.3704293899547944,0
1a1f7adc1cf10e2f,61616445,,12528017,asker,title,2020-05-05 15:10:35.053000+00:00,2020-05,from_tool,openai,python,2020-05,1,0.3704293899547944,0
20cb2da5c21b34c8,61641257,,6261748,asker,title,2020-05-06 17:19:48.250000+00:00,2020-05,from_tool,,python,2020-05,1,0.3704293899547944,0
a9a03dfcd22e12bc,61641257,,6261748,asker,question_body,2020-05-06 17:19:48.250000+00:00,2020-05,from_tool,,python,2020-05,1,0.3704293899547944,0
fd379a4c5188a3dc,62332522,,9414122,asker,question_body,2020-06-11 19:56:33.827000+00:00,2020-06,tool_generated,ai_generated;openai,python,2020-06,1,0.3704293899547944,0
c5c4b6b4f5f01b30,62552382,62601484,4008485,answerer,answer_body,2020-06-26 19:18:11.510000+00:00,2020-06,from_tool,openai,python,2020-06,1,0.3704293899547944,0
9a4d4d0c486ecbee,62561471,62685337,5332229,answerer,answer_body,2020-07-01 21:06:43.123000+00:00,2020-07,from_tool,,python,2020-06,1,0.3704293899547944,0
b4d93b10dfc63b53,63543006,,11263621,asker,title,2020-08-23 03:07:19.800000+00:00,2020-08,from_tool,,python,2020-08,1,0.3704293899547944,0
15c6c31154ee7cd3,63555627,,14117600,asker,question_body,2020-08-24 06:15:59.463000+00:00,2020-08,from_tool,openai,python,2020-08,1,0.3704293899547944,0
70116b4496d66bbf,63610585,,14117600,asker,question_body,2020-08-27 06:49:30.563000+00:00,2020-08,from_tool,openai,python,2020-08,1,0.3704293899547944,0
0159dcbf7f08bdca,63653136,,3029322,asker,question_body,2020-08-30 01:13:51.710000+00:00,2020-08,from_tool,openai,python,2020-08,1,0.3704293899547944,0
b147d35420a5ea78,63948641,,6246159,asker,question_body,2020-09-18 02:48:21.963000+00:00,2020-09,from_tool,,python,2020-09,1,0.3704293899547944,0
4e43f5b22e2f0e0e,64340354,,10456525,asker,question_body,2020-10-13 17:38:38.607000+00:00,2020-10,from_tool,gemini,python,2020-10,1,0.3704293899547944,0
be880cf76235e50a,64665830,,436035,asker,question_body,2020-11-03 15:31:07.787000+00:00,2020-11,from_tool,copilot,docker,2020-11,0,-2.067518990036933,0
64948b16238cbdc5,64665830,65034618,436035,answerer,answer_body,2020-11-27 09:08:50.050000+00:00,2020-11,from_tool,copilot,docker,2020-11,0,-2.067518990036933,0
0449fe558734cd39,65338895,,5013467,asker,question_body,2020-12-17 10:28:06.077000+00:00,2020-12,from_tool,openai,python,2020-12,1,0.3704293899547944,0
5bf31230511b4d6a,65338895,,5013467,asker,title,2020-12-17 10:28:06.077000+00:00,2020-12,from_tool,openai,python,2020-12,1,0.3704293899547944,0
b701855f8d6aab6c,66004913,66004938,13337635,answer_commenter,answer_comment,2021-02-02 07:12:37.813000+00:00,2021-02,from_tool,openai,python,2021-02,1,0.3704293899547944,0
ab252eed0c3bc316,66682677,,13782227,asker,question_body,2021-03-17 23:24:09.240000+00:00,2021-03,from_tool,openai,python,2021-03,1,0.3704293899547944,0
979503ffcfe8afa6,66851584,,13012792,asker,question_body,2021-03-29 09:17:47.630000+00:00,2021-03,from_tool,,python,2021-03,1,0.3704293899547944,0
e19537341084a341,67908668,,15915226,asker,question_body,2021-06-09 17:02:00.310000+00:00,2021-06,from_tool,openai,python,2021-06,1,0.3704293899547944,0
219aa0822bc4ca27,68126788,,12491964,question_commenter,question_comment,2021-06-25 07:45:33.437000+00:00,2021-06,from_tool,gpt_family;openai,python,2021-06,1,0.3704293899547944,0
9180ea00dd99e4a8,68183962,,16343968,asker,question_body,2021-06-29 18:31:25.760000+00:00,2021-06,from_tool,openai,python,2021-06,1,0.3704293899547944,0
