treated_user_id,control_user_id,hit_month_id,hit_month_index,distance,matching_rule,treated_first_active_bucket,control_first_active_bucket,treated_ask_bin,control_ask_bin
1609514,10508,2020-02,601,0.0,first_active_bucket+ask_bin,early,early,one,one
8648710,16784,2020-02,601,7.844153761383133,first_active_bucket+relaxed_ask_bin,early,early,zero,one
4758274,31707,2020-02,601,7.8440108712244205,first_active_bucket+relaxed_ask_bin,early,early,zero,one
3363813,46183,2020-02,601,7.8438679813168655,first_active_bucket+relaxed_ask_bin,early,early,zero,one
9344014,48956,2020-02,601,0.0,first_active_bucket+ask_bin,early,early,low,low
881660,50305,2020-02,601,7.843768013000559,first_active_bucket+relaxed_ask_bin,early,early,zero,one
11228928,58928,2020-02,601,7.8436251152906005,first_active_bucket+relaxed_ask_bin,early,early,zero,one
12829049,74865,2020-02,601,7.843482217831819,first_active_bucket+relaxed_ask_bin,early,early,zero,one
4544413,10415819,2020-03,602,0.0,first_active_bucket+ask_bin,early,early,high,high
7896124,6902,2020-03,602,9.012261542806597,first_active_bucket+relaxed_ask_bin,early,early,zero,one
12230319,31622,2020-03,602,9.012218373964586,first_active_bucket+relaxed_ask_bin,early,early,zero,one
13078040,65555,2020-03,602,9.012175207442105,first_active_bucket+relaxed_ask_bin,early,early,zero,one
9545114,116,2020-04,603,5.682151592245116,first_active_bucket+relaxed_ask_bin,early,early,zero,one
7850499,12870,2020-04,603,0.0,first_active_bucket+ask_bin,early,early,low,low
12561894,131012,2020-04,603,0.0,first_active_bucket+ask_bin,early,early,low,low
9787406,7648,2020-04,603,5.682082918858774,first_active_bucket+relaxed_ask_bin,early,early,zero,one
13080276,9140,2020-04,603,5.682060315144845,first_active_bucket+relaxed_ask_bin,early,early,zero,one
5453699,13430,2020-04,603,5.682037712137855,first_active_bucket+relaxed_ask_bin,early,early,zero,one
13394566,15485,2020-04,603,5.682015109837855,first_active_bucket+relaxed_ask_bin,early,early,zero,one
10598769,11883325,2020-05,604,0.0,first_active_bucket+ask_bin,early,early,mid,mid
8410038,3343,2020-05,604,4.501022544838643,first_active_bucket+relaxed_ask_bin,early,early,zero,one
6261748,9106,2020-05,604,4.501006586549259,first_active_bucket+relaxed_ask_bin,early,early,zero,one
12528017,11439,2020-05,604,4.500990628501643,first_active_bucket+relaxed_ask_bin,early,early,zero,one
12017187,19269,2020-05,604,4.5009746706958085,first_active_bucket+relaxed_ask_bin,early,early,zero,one
13458330,44743,2020-05,604,4.5009587131317685,first_active_bucket+relaxed_ask_bin,early,early,zero,one
12486121,1448195,2020-06,605,0.0,first_active_bucket+ask_bin,early,early,mid,mid
4561314,12014606,2020-06,605,0.17639271441993387,first_active_bucket+ask_bin,early,early,mid,mid
4182274,322,2020-06,605,0.0,first_active_bucket+ask_bin,early,early,one,one
13370109,836125,2020-06,605,0.0,first_active_bucket+ask_bin,early,early,mid,mid
13494387,14731,2020-06,605,0.0,first_active_bucket+ask_bin,early,early,one,one
8313547,2683,2020-07,606,0.0,first_active_bucket+ask_bin,early,early,one,one
11811336,1912,2020-07,606,3.49524900794989,first_active_bucket+relaxed_ask_bin,early,early,zero,one
1019952,742269,2020-07,606,0.0,first_active_bucket+ask_bin,early,early,low,low
12452964,102181,2020-07,606,0.0,first_active_bucket+ask_bin,early,early,low,low
3517168,5291,2020-07,606,3.495239746200837,first_active_bucket+relaxed_ask_bin,early,early,zero,one
7710572,34747,2020-07,606,3.4952307654654753,first_active_bucket+relaxed_ask_bin,early,early,zero,one
13430191,39123,2020-07,606,3.4952217848155542,first_active_bucket+relaxed_ask_bin,early,early,zero,one
11263621,1363,2020-08,607,3.4159097820989244,first_active_bucket+relaxed_ask_bin,early,early,zero,one
239879,6694814,2020-08,607,1.9308342734866448,first_active_bucket+ask_bin,early,early,high,high
13624094,2683,2020-08,607,0.0,first_active_bucket+ask_bin,early,early,one,one
6815505,8438,2020-08,607,3.4170660001610096,first_active_bucket+relaxed_ask_bin,early,early,zero,one
11718897,5775,2020-08,607,0.0,first_active_bucket+ask_bin,early,early,one,one
14176006,14952,2020-08,607,3.417048567911857,first_active_bucket+relaxed_ask_bin,early,early,zero,one
8010568,7122438,2020-09,608,3.354103347606244,first_active_bucket+relaxed_ask_bin,early,early,zero,one
2745116,133374,2020-10,609,0.0016357694971289118,first_active_bucket+ask_bin,early,early,mid,mid
11665835,2661,2020-10,609,0.0,first_active_bucket+ask_bin,early,early,one,one
