family,variant,metric,label,value,extra_1,extra_2,extra_3
expert_holdout,early_window_top_decile_min20,group_mean,other_holdout_users,0.3148256077135485,0.11056255941333575,0.17336245529853786,0.1349337675887592
expert_holdout,early_window_top_decile_min20,group_mean,expert_holdout_label,18.144641125121243,8.452109602327837,2.9192531522793406,0.738381846418706
expert_face_validity,current_frozen_definition,group_mean,incumbent_nonexpert,8.607880965587093,0.3411819887987628,1.0867984564447943,997.8040520106701
expert_face_validity,current_frozen_definition,group_mean,expert,82.14436490455213,0.40641310449542356,1.188427726716254,1176.2234985845246
expert_threshold_sensitivity,pct_5_min_10,expert_share_coef,exposure_post,0.0009637654511697286,0.9587509167963527,19473.0,
expert_threshold_sensitivity,pct_5_min_20,expert_share_coef,exposure_post,-0.005823853685192508,0.7204973667431783,10856.0,
expert_threshold_sensitivity,pct_5_min_30,expert_share_coef,exposure_post,-0.008522248933398705,0.5548206658052119,6788.0,
expert_threshold_sensitivity,pct_9_min_10,expert_share_coef,exposure_post,-0.0054400937218067,0.782865288171463,23625.0,
expert_threshold_sensitivity,pct_9_min_20,expert_share_coef,exposure_post,-0.005986797110690194,0.713228163495188,10896.0,
expert_threshold_sensitivity,pct_9_min_30,expert_share_coef,exposure_post,-0.008529604966423097,0.5545084900472999,6790.0,
expert_threshold_sensitivity,pct_15_min_10,expert_share_coef,exposure_post,-0.0056759359614631305,0.7759805973850674,23935.0,
expert_threshold_sensitivity,pct_15_min_20,expert_share_coef,exposure_post,-0.0060126367310985055,0.7120910683703408,10903.0,
expert_threshold_sensitivity,pct_15_min_30,expert_share_coef,exposure_post,-0.008529604966423097,0.5545084900472999,6790.0,
expert_component_variant,composite,n_experts,expert_count,10896.0,0.022156383889445828,,
expert_component_variant,volume_only,n_experts,expert_count,10903.0,0.022170617983354245,,
expert_component_variant,accepted_only,n_experts,expert_count,10855.0,0.022073012767982236,,
expert_component_variant,score_only,n_experts,expert_count,941.0,0.001913468909688741,,
entrant_tenure_sensitivity,tenure_30d,novice_entry_coef,exposure_post,0.009211496766582086,0.07283554205681508,232905.0,
entrant_tenure_sensitivity,tenure_60d,novice_entry_coef,exposure_post,0.00713279326432611,0.16465224255160404,246239.0,
entrant_tenure_sensitivity,tenure_90d,novice_entry_coef,exposure_post,0.005759913227238728,0.25533120060425696,255839.0,
entrant_tenure_sensitivity,tenure_180d,novice_entry_coef,exposure_post,0.003596003455234853,0.4588096256627856,277913.0,
entrant_subtype_effect,brand_new_platform,subtype_share_coef,exposure_post,0.06992172542722543,6.547232407069126e-05,66971.0,
entrant_subtype_effect,low_tenure_existing,subtype_share_coef,exposure_post,-0.01803337884328948,0.43985251906687506,6921.0,
entrant_subtype_effect,established_cross_tag,subtype_share_coef,exposure_post,-0.0518883465839398,0.007109495343568176,87823.0,
entrant_profiles,brand_new_platform,profile_mean,entrant_type,146211.0,0.0,0.0,0.0
entrant_profiles,established_cross_tag,profile_mean,entrant_type,397653.0,1742.8519577596683,98.77869398696853,84.42640191322586
entrant_profiles,low_tenure_existing,profile_mean,entrant_type,109628.0,16.0609845447521,3.240504250738862,2.210466304228847
closure_timing_validation,strict_event_timing_share,share_questions_with_event_timing,accept_vote_date_daylevel,1.0,0.0,2035885.0,
closure_family,first_answer_12h_rate,closure_coef,exposure_post,0.0007601444018684489,0.9272041128141477,1147.0,
closure_family,first_answer_1d_rate,closure_coef,exposure_post,0.0031247141114796027,0.7228588660142905,1147.0,
closure_family,first_answer_7d_rate,closure_coef,exposure_post,0.007874134232574352,0.3307187126764536,1147.0,
closure_family,accepted_7d_rate,closure_coef,exposure_post,0.008967157367125117,0.02687791224980354,1147.0,
closure_family,accepted_14d_rate,closure_coef,exposure_post,0.01027207306445199,0.01646694450912404,1146.0,
closure_family,accepted_30d_rate,closure_coef,exposure_post,0.011364255806209646,0.012078344890830348,1140.0,
closure_conditional,accepted_7d_given_any_answer_7d,closure_coef,exposure_post,0.006725034243865844,0.08045126359472134,1145.0,
closure_prelink,pre_shock_expert_share_link,expert_share_to_accepted_7d,expert_answer_share,0.03892111168622886,0.2522030672877912,560.0,
