event_id,user_id,role,source_surface,event_ts,event_month,question_id,answer_id,comment_id,strict_pattern_labels,tool_family_labels,question_created_at,question_month_id,primary_tag,high_tag,exposure_index,post_chatgpt
DAE-0000001,12800040.0,asker,question_body,2020-01-28 15:20:01.457000+00:00,2020-01,59951879,,,from_tool,,2020-01-28 15:20:01.457000+00:00,2020-01,javascript,1.0,0.484762784788476,0
DAE-0000002,12800040.0,asker,title,2020-01-28 15:20:01.457000+00:00,2020-01,59951879,,,from_tool,,2020-01-28 15:20:01.457000+00:00,2020-01,javascript,1.0,0.484762784788476,0
DAE-0000003,12829049.0,asker,title,2020-02-02 18:23:07.907000+00:00,2020-02,60029211,,,from_tool,,2020-02-02 18:23:07.907000+00:00,2020-02,python,1.0,0.3704293899547944,0
DAE-0000004,231238.0,answerer,answer_body,2020-03-13 19:11:25.750000+00:00,2020-03,60674959,60676032.0,,used_tool,,2020-03-13 17:35:10.297000+00:00,2020-03,python,1.0,0.3704293899547944,0
DAE-0000005,13072764.0,asker,question_body,2020-03-19 18:55:52.390000+00:00,2020-03,60763428,,,from_tool,openai,2020-03-19 18:55:52.390000+00:00,2020-03,python,1.0,0.3704293899547944,0
DAE-0000006,5453699.0,asker,question_body,2020-04-17 14:14:59.183000+00:00,2020-04,61273746,,,from_tool,openai,2020-04-17 14:14:59.183000+00:00,2020-04,python,1.0,0.3704293899547944,0
DAE-0000007,12528017.0,asker,title,2020-05-05 15:10:35.053000+00:00,2020-05,61616445,,,from_tool,openai,2020-05-05 15:10:35.053000+00:00,2020-05,python,1.0,0.3704293899547944,0
DAE-0000008,6261748.0,asker,question_body,2020-05-06 17:19:48.250000+00:00,2020-05,61641257,,,from_tool,,2020-05-06 17:19:48.250000+00:00,2020-05,python,1.0,0.3704293899547944,0
DAE-0000009,6261748.0,asker,title,2020-05-06 17:19:48.250000+00:00,2020-05,61641257,,,from_tool,,2020-05-06 17:19:48.250000+00:00,2020-05,python,1.0,0.3704293899547944,0
DAE-0000010,9414122.0,asker,question_body,2020-06-11 19:56:33.827000+00:00,2020-06,62332522,,,tool_generated,ai_generated;openai,2020-06-11 19:56:33.827000+00:00,2020-06,python,1.0,0.3704293899547944,0
DAE-0000011,4008485.0,answerer,answer_body,2020-06-26 19:18:11.510000+00:00,2020-06,62552382,62601484.0,,from_tool,openai,2020-06-24 09:56:57.840000+00:00,2020-06,python,1.0,0.3704293899547944,0
DAE-0000012,5332229.0,answerer,answer_body,2020-07-01 21:06:43.123000+00:00,2020-07,62561471,62685337.0,,from_tool,,2020-06-24 18:09:19.927000+00:00,2020-06,python,1.0,0.3704293899547944,0
DAE-0000013,,asker,question_body,2020-08-07 09:40:39.553000+00:00,2020-08,63299162,,,from_tool,openai,2020-08-07 09:40:39.553000+00:00,2020-08,python,1.0,0.3704293899547944,0
DAE-0000014,11263621.0,asker,title,2020-08-23 03:07:19.800000+00:00,2020-08,63543006,,,from_tool,,2020-08-23 03:07:19.800000+00:00,2020-08,python,1.0,0.3704293899547944,0
DAE-0000015,14117600.0,asker,question_body,2020-08-24 06:15:59.463000+00:00,2020-08,63555627,,,from_tool,openai,2020-08-24 06:15:59.463000+00:00,2020-08,python,1.0,0.3704293899547944,0
DAE-0000016,14117600.0,asker,question_body,2020-08-27 06:49:30.563000+00:00,2020-08,63610585,,,from_tool,openai,2020-08-27 06:49:30.563000+00:00,2020-08,python,1.0,0.3704293899547944,0
DAE-0000017,3029322.0,asker,question_body,2020-08-30 01:13:51.710000+00:00,2020-08,63653136,,,from_tool,openai,2020-08-30 01:13:51.710000+00:00,2020-08,python,1.0,0.3704293899547944,0
DAE-0000018,6246159.0,asker,question_body,2020-09-18 02:48:21.963000+00:00,2020-09,63948641,,,from_tool,,2020-09-18 02:48:21.963000+00:00,2020-09,python,1.0,0.3704293899547944,0
DAE-0000019,,asker,question_body,2020-09-18 22:27:27.547000+00:00,2020-09,63963532,,,from_tool,openai,2020-09-18 22:27:27.547000+00:00,2020-09,python,1.0,0.3704293899547944,0
DAE-0000020,10456525.0,asker,question_body,2020-10-13 17:38:38.607000+00:00,2020-10,64340354,,,from_tool,gemini,2020-10-13 17:38:38.607000+00:00,2020-10,python,1.0,0.3704293899547944,0
DAE-0000021,,asker,question_body,2020-10-29 18:38:56.067000+00:00,2020-10,64597298,,,from_tool;used_tool,openai,2020-10-29 18:38:56.067000+00:00,2020-10,python,1.0,0.3704293899547944,0
DAE-0000022,436035.0,asker,question_body,2020-11-03 15:31:07.787000+00:00,2020-11,64665830,,,from_tool,copilot,2020-11-03 15:31:07.787000+00:00,2020-11,docker,0.0,-2.067518990036933,0
