window_days,donut_days,sample,outcome,coef,se,pval,nobs,n_disclosed,mean_outcome
7,0,matched_all_tags,first_answer_1d,0.0414506171497193,0.11003444979577252,0.7063922405345204,16873,56,0.6854145676524626
7,0,matched_all_tags,accepted_30d,-0.28352987163711507,0.2835420028432581,0.31733121350444193,16873,56,0.19569726782433475
7,0,matched_high_tags,first_answer_1d,0.024949376063818918,0.08162716588220942,0.759870840509379,12664,46,0.6949620972836387
7,0,matched_high_tags,accepted_30d,-0.22767728927595499,0.365638868551749,0.533492529671066,12664,46,0.19590966519267214
7,1,matched_all_tags,first_answer_1d,-0.46736464410751105,0.20607043901553365,0.02333012701064489,13688,49,0.6886323787258913
7,1,matched_all_tags,accepted_30d,-0.12019191803290476,0.3778309423480191,0.7504012636260055,13688,49,0.19608416130917591
7,1,matched_high_tags,first_answer_1d,-0.41285003168958856,0.2952964375969903,0.16208702338540126,10443,41,0.6945322225414153
7,1,matched_high_tags,accepted_30d,0.034845935412768154,0.4942342633787708,0.9437918036869681,10443,41,0.1935267643397491
7,3,matched_all_tags,first_answer_1d,-0.3900831234181017,0.26493928817034573,0.14092662971567577,8475,28,0.6842477876106194
7,3,matched_all_tags,accepted_30d,-1.3463957699418483,0.4323287931443216,0.001843902824594184,8475,28,0.1961061946902655
7,3,matched_high_tags,first_answer_1d,-0.6626291165743448,0.25616449009393744,0.009689066398439208,6957,25,0.6951272100043122
7,3,matched_high_tags,accepted_30d,-1.67357484381824,0.28418856578525975,3.886355773295346e-09,6957,25,0.19419289923817737
14,0,matched_all_tags,first_answer_1d,-0.03767347362356121,0.09227234080573898,0.6830639654837385,36063,102,0.679560768654854
14,0,matched_all_tags,accepted_30d,-0.10108622534913382,0.15657854083752895,0.5185420805910153,36063,102,0.18911349582674764
14,0,matched_high_tags,first_answer_1d,-0.06254251083081896,0.09860452010758172,0.5259005163177732,26676,80,0.6915579547158495
14,0,matched_high_tags,accepted_30d,0.009686419643512323,0.1997164803086022,0.9613170846861624,26676,80,0.18638476533213374
14,1,matched_all_tags,first_answer_1d,-0.1953850260851661,0.15971055637661793,0.22119016167668704,31787,95,0.6818196117909837
14,1,matched_all_tags,accepted_30d,0.013014016168519599,0.1481270756675248,0.9299902492758961,31787,95,0.19042375814012016
14,1,matched_high_tags,first_answer_1d,-0.2154075616169322,0.18729810538662295,0.2501114582373687,23933,75,0.6911795428905695
14,1,matched_high_tags,accepted_30d,0.16345169761451805,0.18790887842867068,0.38438482698549725,23933,75,0.1845568879789412
14,3,matched_all_tags,first_answer_1d,0.002173823420088483,0.12784379307417612,0.9864336271106232,26777,74,0.683384994584905
14,3,matched_all_tags,accepted_30d,-0.035627859032164706,0.12961929908253747,0.7834196590582133,26777,74,0.1907980729730739
14,3,matched_high_tags,first_answer_1d,-0.12804099920408651,0.0917893352376735,0.1630326722518034,20195,59,0.6925476603119584
14,3,matched_high_tags,accepted_30d,-0.020357522776893726,0.11411288439014217,0.8584103343586569,20195,59,0.18524387224560535
14,5,matched_all_tags,first_answer_1d,0.7585071400698989,0.29816114315884434,0.010960666768216127,17671,52,0.6700243336540094
14,5,matched_all_tags,accepted_30d,0.8745967533247881,0.23993689075856323,0.000267275751078485,17671,52,0.18669005715579198
14,5,matched_high_tags,first_answer_1d,0.7718961184039649,0.07611930911240568,3.648196620275184e-24,14275,40,0.681260945709282
14,5,matched_high_tags,accepted_30d,1.1424908526369484,0.08741584283310194,4.911758461797014e-39,14275,40,0.18388791593695272
21,0,matched_all_tags,first_answer_1d,0.10571783160458088,0.13830943201526297,0.444654314752986,55067,150,0.6741787277316723
21,0,matched_all_tags,accepted_30d,-0.13976356896946737,0.14141378169564064,0.3229907594419523,55067,150,0.18869740497938875
21,0,matched_high_tags,first_answer_1d,0.023126493775078614,0.13984895641611267,0.868654611846631,39650,114,0.6913997477931905
21,0,matched_high_tags,accepted_30d,-0.07880739921296656,0.17816582163667166,0.6582532217122343,39650,114,0.18615384615384614
21,1,matched_all_tags,first_answer_1d,0.006002927144253281,0.19286241809407656,0.9751695032876404,50406,143,0.6741260960996707
21,1,matched_all_tags,accepted_30d,-0.08705128760117258,0.12941380751950482,0.5011646246294337,50406,143,0.19007657818513668
